timestamp,chat_id,Command from user,BBMresponse2016-12-27 09:19:40.399000,271383530,記帳家教賺了1200元,"好了，我已經幫爸爸記好了日期： 2016-12-27   項目： 家教   金額： 收入NT1200

記帳紀錄可以看這裡： https://goo.gl/OI2LXx "
2016-12-27 09:21:17.248000,271383530,記帳停車費20元,"好了，我已經幫爸爸記好了日期： 2016-12-27   項目： 停車費   金額： 支出NT20

記帳紀錄可以看這裡： https://goo.gl/OI2LXx "
2016-12-27 09:24:12.801000,271383530,記帳 早餐-蛋餅 25元,"好了，我已經幫爸爸記好了日期： 2016-12-27   項目： 早餐-蛋餅   金額： 支出NT25

記帳紀錄可以看這裡： https://goo.gl/OI2LXx "
2016-12-27 09:35:27.512000,271383530,記帳 昨天停車費被吃錢10元,"好了，我已經幫爸爸記好了日期： 2016-12-26   項目： 停車費被錢   金額： 支出NT10

記帳紀錄可以看這裡： https://goo.gl/OI2LXx "
2016-12-27 09:35:49.113000,271383530,昨天晚餐吃了八方雲集招牌鍋貼十枚 50元,……嗯這句話對我來說太難了，請爸爸幫我升級智能吧！
2016-12-27 09:37:48.510000,271383530,記帳 昨天晚餐吃了八方雲集招牌鍋貼十枚 50元,"好了，我已經幫爸爸記好了日期： 2016-12-26   項目： 晚餐八方雲集招牌鍋貼十枚   金額： 支出NT50

記帳紀錄可以看這裡： https://goo.gl/OI2LXx "
2016-12-27 12:08:11.336000,271383530,hi,hi
2016-12-27 12:10:31.298000,271383530,/story,"讓嗶鼠我來講笑話給爸爸舔舔： 
V：聽說埃及沒有郵局，如果埃及的人民想要寄信，必須出埃及寄。
H：聽說有舌頭味覺不靈光的人，如果想要得嚐美食，必須服用利味劑。

(2/9)"
2016-12-27 12:10:35.913000,271383530,/story,"讓嗶鼠我來講笑話給爸爸舔舔： 
[神魔之塔轉珠中]H: 別人轉珠都好強喔！
V: 所以別人是神轉珠，你是豬轉珠囉～
H: 甚麼！好歹說我是神豬轉珠吧！
V: 神豬轉珠不就是神豬他爸轉珠嗎～哈哈哈哈！

(3/9)"
2016-12-27 12:10:38.069000,271383530,/story,"讓嗶鼠我來講笑話給爸爸舔舔： 
[在床上翻來翻去的小酥餅]
V: 睡不著耶
H: 對不起～我太吵了嗎？都是我在心中不斷的大叫「我愛小酥餅」！

(5/9)"
2016-12-27 12:10:39.885000,271383530,/story,"讓嗶鼠我來講笑話給爸爸舔舔： 
[神魔之塔轉珠中]H: 別人轉珠都好強喔！
V: 所以別人是神轉珠，你是豬轉珠囉～
H: 甚麼！好歹說我是神豬轉珠吧！
V: 神豬轉珠不就是神豬他爸轉珠嗎～哈哈哈哈！

(3/9)"
2016-12-27 12:10:41.570000,271383530,/story,"讓嗶鼠我來講笑話給爸爸舔舔： 
我在浴室，小羴羊敲了敲門才走進來。
V: 小羴羊都會敲門才進來耶，真有禮貌。
H: 我怕打到小酥餅的頭嘛。
V: (暗自竊喜，老公真疼我)
H: 其實我不怕打到酥餅的頭，我是怕酥餅罵我。

(6/9)"
2016-12-27 12:10:43.900000,271383530,/story,"讓嗶鼠我來講笑話給爸爸舔舔： 
爺爺揹著小酥熊，走到山上來看猴，猴子哭了叫爸爸，就被爺爺揹回家。 
https://youtu.be/HDL1Ivz55N0

(7/9)"
2016-12-27 12:10:45.849000,271383530,/story,"讓嗶鼠我來講笑話給爸爸舔舔： 
[神魔之塔轉珠中]H: 別人轉珠都好強喔！
V: 所以別人是神轉珠，你是豬轉珠囉～
H: 甚麼！好歹說我是神豬轉珠吧！
V: 神豬轉珠不就是神豬他爸轉珠嗎～哈哈哈哈！

(3/9)"
2016-12-27 12:10:47.639000,271383530,/story,"讓嗶鼠我來講笑話給爸爸舔舔： 
「生氣的酥熊」
「來把牠進化吧」
「變成更生氣的酥熊」
https://youtu.be/yxg06yebRd0

(8/9)"
2016-12-27 12:10:49.697000,271383530,/story,"讓嗶鼠我來講笑話給爸爸舔舔： 
V：聽說埃及沒有郵局，如果埃及的人民想要寄信，必須出埃及寄。
H：聽說有舌頭味覺不靈光的人，如果想要得嚐美食，必須服用利味劑。

(2/9)"
2016-12-27 12:10:51.449000,271383530,/story,"讓嗶鼠我來講笑話給爸爸舔舔： 
V: 請用一個字來形容我！ H: 好！

(1/9)"
2016-12-27 12:10:53.820000,271383530,/story,"讓嗶鼠我來講笑話給爸爸舔舔： 
V：聽說埃及沒有郵局，如果埃及的人民想要寄信，必須出埃及寄。
H：聽說有舌頭味覺不靈光的人，如果想要得嚐美食，必須服用利味劑。

(2/9)"
2016-12-27 12:10:58.631000,271383530,/story,"讓嗶鼠我來講笑話給爸爸舔舔： 
[在床上翻來翻去的小酥餅]
V: 睡不著耶
H: 對不起～我太吵了嗎？都是我在心中不斷的大叫「我愛小酥餅」！

(5/9)"
2016-12-27 12:11:02.547000,271383530,/story,"讓嗶鼠我來講笑話給爸爸舔舔： 
「生氣的酥熊」
「來把牠進化吧」
「變成更生氣的酥熊」
https://youtu.be/yxg06yebRd0

(8/9)"
2016-12-27 12:11:04.550000,271383530,/story,"讓嗶鼠我來講笑話給爸爸舔舔： 
V: 請用一個字來形容我！ H: 好！

(1/9)"
2016-12-27 12:11:06.314000,271383530,/story,"讓嗶鼠我來講笑話給爸爸舔舔： 
[在床上翻來翻去的小酥餅]
V: 睡不著耶
H: 對不起～我太吵了嗎？都是我在心中不斷的大叫「我愛小酥餅」！

(5/9)"
2016-12-27 12:11:08.137000,271383530,/story,"讓嗶鼠我來講笑話給爸爸舔舔： 
V：聽說埃及沒有郵局，如果埃及的人民想要寄信，必須出埃及寄。
H：聽說有舌頭味覺不靈光的人，如果想要得嚐美食，必須服用利味劑。

(2/9)"
2016-12-27 12:11:09.894000,271383530,/story,"讓嗶鼠我來講笑話給爸爸舔舔： 
我在浴室，小羴羊敲了敲門才走進來。
V: 小羴羊都會敲門才進來耶，真有禮貌。
H: 我怕打到小酥餅的頭嘛。
V: (暗自竊喜，老公真疼我)
H: 其實我不怕打到酥餅的頭，我是怕酥餅罵我。

(6/9)"
